Restaurant Name,Cuisine,,,Day,Time,Order Details,OrderDate,DeliveryDate,OrderAmount,,
Great Wall,Chinese,,,Mon, 1:19 PM,"ORDER #1099340410 | Mon, Jul 24, 1:19 PM"," Jul 24, 1:19 PM","Mon, Jul 24, 1:49 PM",325,"Veg Manchow Soup x 1, Dragon Paneer x 1",Besant Nagar adyar
Hello Cravings! by Cafe Coffee Day,Snacks,,,Fri, 5:19 PM,"ORDER #1100876632 | Fri, Aug 4, 5:19 PM"," Aug 4, 5:19 PM","Fri, Aug 4, 5:55 PM",160,Cappuccino (350 ml) x 1,OMR Perungudi ECR-kottivakkam
Home Meals,North Indian,,,Mon, 2:20 PM,"ORDER #1126632139 | Mon, Dec 25, 2:20 PM"," Dec 25, 2:20 PM","Mon, Dec 25, 2:38 PM",322,Chole Bhatoore (2 Pcs) x 2,LB Road adyar
Hot Chips,South Indian,,,Mon, 4:51 PM,"ORDER #1162734237 | Mon, Apr 9, 4:51 PM"," Apr 9, 4:51 PM","Mon, Apr 9, 5:20 PM",102,Chilli Parotta x 1,Thiruvanmiyur adyar
Hotel Saravana Bhavan,South Indian,,,Fri, 11:10 PM,"ORDER #1158353006 | Fri, Mar 30, 11:10 PM"," Mar 30, 11:10 PM","Fri, Mar 30, 11:37 PM",157,"Onion Rava Dosai x 1, Hot Idli (3) x 1",Perungudi omr-perungudi
Hotel Saravana Bhavan,South Indian,,,Sun, 2:57 PM,"ORDER #1156047079 | Sun, Mar 25, 2:57 PM"," Mar 25, 2:57 PM","Sun, Mar 25, 3:40 PM",195,Special Limited Meals x 1,Perungudi omr-perungudi
Hotel Saravana Bhavan,South Indian,,,Mon, 2:06 PM,"ORDER #1153682156 | Mon, Mar 19, 2:06 PM"," Mar 19, 2:06 PM","Mon, Mar 19, 2:29 PM",155,Special Limited Meals x 1,Perungudi omr-perungudi
Hotel Saravana Bhavan,South Indian,,,Sun, 12:36 PM,"ORDER #1153199106 | Sun, Mar 18, 12:36 PM"," Mar 18, 12:36 PM","Sun, Mar 18, 1:07 PM",167,"Mulligatawny + Starter of the Day x 1, Limited Meals x 1",Perungudi omr-perungudi
Hotel Saravana Bhavan,South Indian,,,Sun, 10:52 PM,"ORDER #1078719565 | Sun, Jan 29, 10:52 PM"," Jan 29, 10:52 PM","Sun, Jan 29, 11:24 PM",302,"Ghee Roast Dosai (Large) x 1, Ghee Roast Masala Dosai (Large) x 1",Perungudi omr-perungudi
Hotel Saravana Bhavan,South Indian,,,Wed, 12:48 PM,"ORDER #1076920923 | Wed, Jan 11, 12:48 PM"," Jan 11, 12:48 PM","Wed, Jan 11, 1:57 PM",187,"Kaima Idli with Raita x 1, Idiyappam (3) x 1",Mylapore mylapore
ID,South Indian,,,Wed, 9:15 PM,"ORDER #1068822660 | Wed, Oct 5, 9:15 PM"," Oct 5, 9:15 PM","Wed, Oct 5, 9:49 PM",159,Spicy Paneer Dosa x 1,Sathyam Cinemas Complex royapettah
Jonah's Bistro,European,,,Tue, 11:06 PM,"ORDER #1102653730 | Tue, Aug 15, 11:06 PM"," Aug 15, 11:06 PM","Tue, Aug 15, 11:24 PM",277,Three Egg Omelette x 1,Besant Nagar adyar
Kalo's,Pizza,,,Sat, 12:08 AM,"ORDER #1131143289 | Sat, Jan 13, 12:08 AM"," Jan 13, 12:08 AM","Sat, Jan 13, 12:38 AM",259,"Creamy Mushroom & Cheese Fries x 1, Cheesy Garlic Bread x 1",Besant Nagar adyar
Krishnavillasam - The Home Of Classics,South Indian,,,Wed, 9:38 PM,"ORDER #1163686114 | Wed, Apr 11, 9:38 PM"," Apr 11, 9:38 PM","Wed, Apr 11, 10:03 PM",179,Vatha Kozhambu x 1,Kasturibai Nagar adyar
Krishnavillasam - The Home Of Classics,South Indian,,,Tue, 9:36 PM,"ORDER #1163267802 | Tue, Apr 10, 9:36 PM"," Apr 10, 9:36 PM","Tue, Apr 10, 10:04 PM",296,"Vatha Kozhambu x 1, Steamed Rice x 1",Kasturibai Nagar adyar
Kulfi House,Dessert,,,Mon, 10:42 PM,"ORDER #1122022735 | Mon, Dec 4, 10:42 PM"," Dec 4, 10:42 PM","Mon, Dec 4, 11:01 PM",150,Malai Badam Kulfi x 1,Adyar adyar
Kulfi House,Dessert,,,Mon, 11:46 PM,"ORDER #1106596526 | Sun, Sep 10, 11:46 PM"," Sep 10, 11:46 PM","Mon, Sep 11, 12:05 AM",320,"Malai Badam Kulfi (Sugar Free) x 1, Gulkand Kulfi x 1, Kesar Pista Kulfi x 1",Adyar adyar
Kulfi Treat,Dessert,,,Tue, 11:04 PM,"ORDER #1138822788 | Tue, Feb 6, 11:04 PM"," Feb 6, 11:04 PM","Tue, Feb 6, 11:15 PM",226,"Raspberry Kulfi Stick x 1, Blueberry Kulfi Stick x 1, Malai Kulfi Stick x 2",Thiruvanmiyur adyar
Kulfi Treat,Dessert,,,Tue, 11:33 PM,"ORDER #1136557635 | Tue, Jan 30, 11:33 PM"," Jan 30, 11:33 PM","Tue, Jan 30, 11:53 PM",128,Sugar Free Malai Kulfi Stick x 2,Thiruvanmiyur adyar
